Campaign name	Campaign ID	Product ID	Creative type	Video title	Video ID	TikTok account	Time posted	Status	Exploration secondary status	Authorization type	Cost	SKU orders	Cost per order	Gross revenue	Product ad impressions	Product ad clicks	Product ad click rate	Ad conversion rate	2-second ad video view rate	6-second ad video view rate	25% ad video view rate	50% ad video view rate	75% ad video view rate	100% ad video view rate	Currency
DRUM THRONE BACKREST	1872022557764657	1730935717839343662	Video	Download Product Manual 【Thick Padded Drum Throne 】4" high-density sponge with an ergonomic design provides lasting comfort for drumming and guitar sessions.【Hydraulic Drummer Seat】Easily adjustable height from 18.5" to 24.5" to accommodate different playing styles and preferences. Suitable for adults and kids.【Sturdy Guitar Stool】Premium hydraulic rod, durable steel frame, and reinforced joints ensure stability and long-lasting use.【Anti-Slip Tripod Legs】Large rubber caps provide a firm grip, prevent wobbling, and protect floors. Supports up to 315 lbs.【Easy Installation】Simply unfold the tripod legs, attach the seat and backrest, secure with screws, and start drumming. Product Description Experience lasting comfort with our thick padded drum throne, featuring a 4-inch high-density ergonomic sponge seat. The height-adjustable hydraulic drummer seat can be changed from 18 to 24 inches, suiting both adults and kids, regardless of playing style. Made with a top-notch hydraulic rod and a durable steel frame with reinforced joints, this sturdy guitar stool ensures longevity. Large anti-slip rubber caps on the tripod legs provide stability, keep the floor safe from scratches, and also hold impressive weights up to 441 lbs no wobbling or shifting. Enjoy easy installation by simply unfolding the legs, inserting the seat and backrest, and securing them with screws. You are ready to drum. The bigger supportive backrest offers additional comfort for extended playing sessions. Features BIGGER BACKREST PORTABLE DRUM STOOL SOLID SUPPORT BASE VERSATILE DRUM THRONE The supportive removable backrest offers additional comfort and proper posture, play for extended periods without discomfort. This guitar stool is easy to transport, and its foldable design makes it convenient to carry to gigs, rehearsals, or lessons. Our drum stools feature a sturdy hydraulic rod and multiple rivet connections, making them safer, more stable, and longer-lasting. This drummer chair has many applications outside of drumming. It can be used as a guitar seat, DJ chair, cello chair, or music stool. Drum Stool Specifications: Color: Red Backrest: Yes Seat Thickness: 4 inches Adjustable Height : Yes ...	7620962019352530189	5 Core Inc	2026-03-24 18:05	Explored	Performing	TikTok Shop official account	83.059	0	0.000	0.000	1344	12	0.89%	0.00%	20.08%	8.06%	4.56%	2.43%	1.52%	1.06%	USD
TRIPOD MIC STAND	1872057135332658	1731768237679546414	Product card	-	N/A	-	-	Exploring	Exploring	N/A	13.882	0	0.000	0.000	5987	98	1.64%	0.00%	-	-	-	-	-	-	USD
DRUM MIC	1871983978647873	1732270342474993710	Product card	-	N/A	-	-	Exploring	Exploring	N/A	16.466	0	0.000	0.000	10454	128	1.22%	0.00%	-	-	-	-	-	-	USD
DRUM THRONE	1871985994267697	1731054780286341166	Product card	-	N/A	-	-	Exploring	Exploring	N/A	5.982	0	0.000	0.000	4600	47	1.02%	0.00%	-	-	-	-	-	-	USD
DRUM PAD	1871984520535506	1730935694406684718	Product card	-	N/A	-	-	Exploring	Exploring	N/A	2.750	0	0.000	0.000	448	14	3.13%	0.00%	-	-	-	-	-	-	USD
PIANO AND KEYBOARD BENCH	1872052711552082	1731036642021838894	Product card	-	N/A	-	-	Exploring	Exploring	N/A	8.301	0	0.000	0.000	5213	46	0.88%	0.00%	-	-	-	-	-	-	USD
A FRAME GUITAR STAND	1872069106454578	1730947837900066862	Video	#5core #guiter #doubleguitar #stand #portable 	7559271146282077470	Neera Lungeli	2025-10-09 12:12	Ineligible	Unavailable	Affiliate mass authorization	0.000	0	0.000	0.000	0	0	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	USD
TRIPOD GUITAR STAND	1872023345120273	N/A	Video	Store like a pro 🎶 5CORE Adjustable Double Guitar Stand | Floor mount with neck holders | Perfect for acoustic, electric & bass guitars 🛒 Keep your instruments safe & organized! #5CoreAudio #GuitarStand #MusicianGear #GuitarStorage #ElectricGuitar #AcousticGuitar #BassGuitar #StudioGear #TikTokShop #TikTokMadeMeBuyIt #5core	7541870779474955575	5 Core Inc	2025-08-28 11:30	Ineligible	Authorization needed	N/A	0.000	0	0.000	0.000	0	0	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	USD
TRIPOD MIC STAND	1872057135332658	1732295063135227950	Product card	-	N/A	-	-	Exploring	Exploring	N/A	2.949	0	0.000	0.000	3549	59	1.66%	0.00%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	1730947758137184302	Product card	-	N/A	-	-	Exploring	Exploring	N/A	2.846	0	0.000	0.000	2792	39	1.40%	0.00%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	1732211209120682030	Product card	-	N/A	-	-	Exploring	Exploring	N/A	2.754	0	0.000	0.000	3590	56	1.56%	0.00%	-	-	-	-	-	-	USD
DRUM THRONE BACKREST	1872022557764657	1730935717619863598	Product card	-	N/A	-	-	Exploring	Exploring	N/A	6.401	0	0.000	0.000	7996	67	0.84%	0.00%	-	-	-	-	-	-	USD
DRUM THRONE	1871985994267697	1730812288989958190	Product card	-	N/A	-	-	Exploring	Exploring	N/A	8.842	0	0.000	0.000	8675	102	1.18%	0.00%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	1732295141037281326	Product card	-	N/A	-	-	Exploring	Exploring	N/A	1.724	0	0.000	0.000	2422	38	1.57%	0.00%	-	-	-	-	-	-	USD
PIANO AND KEYBOARD BENCH	1872052711552082	1731140681904984110	Product card	-	N/A	-	-	Exploring	Exploring	N/A	7.024	0	0.000	0.000	5212	49	0.94%	0.00%	-	-	-	-	-	-	USD
KEYBOARD STAND	1872054276884850	1731036635349159982	Product card	-	N/A	-	-	Exploring	Exploring	N/A	6.704	0	0.000	0.000	8469	148	1.75%	0.00%	-	-	-	-	-	-	USD
KEYBOARD STAND	1872054276884850	1730941332040355886	Product card	-	N/A	-	-	Exploring	Exploring	N/A	8.463	0	0.000	0.000	8835	151	1.71%	0.00%	-	-	-	-	-	-	USD
PIANO AND KEYBOARD BENCH	1872052711552082	1730935650998128686	Product card	-	N/A	-	-	Exploring	Exploring	N/A	6.913	0	0.000	0.000	4506	45	1.00%	0.00%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	1732270984754139182	Product card	-	N/A	-	-	Exploring	Exploring	N/A	4.728	0	0.000	0.000	4027	70	1.74%	0.00%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	1730941338990907438	Product card	-	N/A	-	-	Exploring	Exploring	N/A	2.126	0	0.000	0.000	2423	34	1.40%	0.00%	-	-	-	-	-	-	USD
DRUM THRONE BACKREST	1872022557764657	1731910693622485038	Video	"Experience superior comfort and performance with this professional drum throne, designed for musicians who demand stability and long-lasting support. The 4-inch thick, high-density foam cushion (17 x 15.5 inches) provides exceptional comfort for extended practice or performances. Its saddle-shaped design promotes proper posture, while the soft velvet seat cover adds a premium feel and helps prevent slipping during intense sessions.

The ergonomic contoured seat supports your natural sitting position, reducing lower back strain and fatigue—ideal for drummers, keyboard players, and guitarists who play for long hours. With an airlift height adjustment system, you can easily customize the seat height from 19 to 25 inches for the perfect playing position.

Built for durability, this drum throne features heavy-duty double-braced steel legs and anti-slip rubber feet to ensure maximum stability on any surface. With a strong weight capacity of up to 441 lbs, it delivers reliable, wobble-free performance in studios, on stage, or at home.

Versatile and built to last, this musician seat is a dependable choice for any setup—whether you're practicing, recording, or performing live. #drumthrone #drummerseat #musicianstool #drumaccessories #musicgear #studiogear #drumkit #drummerlife #guitarstool #keyboardbench #adjustablestool #professionalaudio #stageequipment #musicsetup #heavyduty #comfortseat #musiciansupport #home #studio #livemusicgear #amazonusa"	7632733247138467085	5 Core Inc	2026-04-25 11:23	Ineligible	Unavailable	TikTok Shop official account	12.650	0	0.000	0.000	241	1	0.41%	0.00%	33.19%	20.85%	4.26%	2.98%	2.13%	2.13%	USD
15 GTR	1872023345137857	N/A	Product card	-	N/A	-	-	Exploring	Exploring	N/A	0.110	0	0.000	0.000	0	0	0.00%	0.00%	-	-	-	-	-	-	USD
SPEAKER STAND	1872055844656625	1732321156253519918	Product card	-	N/A	-	-	Exploring	Exploring	N/A	6.217	0	0.000	0.000	6854	145	2.12%	0.00%	-	-	-	-	-	-	USD
PIANO AND KEYBOARD BENCH	1872052711552082	1731036632150478894	Product card	-	N/A	-	-	Exploring	Exploring	N/A	5.693	0	0.000	0.000	4474	41	0.92%	0.00%	-	-	-	-	-	-	USD
DRUM MIC	1871983978647873	1732271468565008430	Product card	-	N/A	-	-	Exploring	Exploring	N/A	9.753	0	0.000	0.000	10185	123	1.21%	0.00%	-	-	-	-	-	-	USD
DRUM PAD	1871984520535506	N/A	Product card	-	N/A	-	-	Exploring	Exploring	N/A	0.000	0	0.000	0.000	0	0	0.00%	0.00%	-	-	-	-	-	-	USD
ROUND BASE MIC STAND	1872069420204498	1730941365271957550	Product card	-	N/A	-	-	Exploring	Exploring	N/A	188.413	0	0.000	0.000	12377	122	0.99%	0.00%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	1732321201532997678	Product card	-	N/A	-	-	Exploring	Exploring	N/A	2.535	0	0.000	0.000	3352	56	1.67%	0.00%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	1731768246863630382	Product card	-	N/A	-	-	Exploring	Exploring	N/A	2.805	0	0.000	0.000	3394	53	1.56%	0.00%	-	-	-	-	-	-	USD
GUITAR STOOL	1872025698491474	1732321156646211630	Product card	-	N/A	-	-	Exploring	Exploring	N/A	1.742	0	0.000	0.000	958	17	1.77%	0.00%	-	-	-	-	-	-	USD
DRUM PAD	1871984520535506	1730935708539654190	Product card	-	N/A	-	-	Exploring	Exploring	N/A	2.430	0	0.000	0.000	403	13	3.23%	0.00%	-	-	-	-	-	-	USD
SPEAKER STAND	1872055844656625	1732353141062799406	Product card	-	N/A	-	-	Exploring	Exploring	N/A	3.978	0	0.000	0.000	3574	81	2.27%	0.00%	-	-	-	-	-	-	USD
DRUM THRONE BACKREST	1872022557764657	1731910919542509614	Product card	-	N/A	-	-	Exploring	Exploring	N/A	10.833	0	0.000	0.000	16271	117	0.72%	0.00%	-	-	-	-	-	-	USD
DRUM THRONE	1871985994267697	1730935700489867310	Product card	-	N/A	-	-	Exploring	Exploring	N/A	8.485	0	0.000	0.000	8558	104	1.22%	0.00%	-	-	-	-	-	-	USD
A FRAME GUITAR STAND	1872069106454578	1732321191190564910	Product card	-	N/A	-	-	Exploring	Exploring	N/A	2.380	0	0.000	0.000	1052	10	0.95%	0.00%	-	-	-	-	-	-	USD
DRUM THRONE BACKREST	1872022557764657	1731910428060454958	Product card	-	N/A	-	-	Exploring	Exploring	N/A	15.021	0	0.000	0.000	16296	116	0.71%	0.00%	-	-	-	-	-	-	USD
DRUM THRONE	1871985994267697	1730935693601902638	Product card	-	N/A	-	-	Exploring	Exploring	N/A	10.635	0	0.000	0.000	8518	98	1.15%	0.00%	-	-	-	-	-	-	USD
SHEET MUSIC STAND	1872070461416593	1730947741646753838	Video		7620961929917517070	5 Core Inc	2026-03-24 18:04	Ineligible	Unavailable	TikTok Shop official account	0.000	0	0.000	0.000	0	0	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	USD
TRIPOD MIC STAND	1872057135332658	1730947758137184302	Video		7620962047022484750	5 Core Inc	2026-03-24 18:05	Ineligible	Unavailable	TikTok Shop official account	0.000	0	0.000	0.000	0	0	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	USD
PROJECTOR STAND	1872069773823521	1732271470958252078	Video	Highlighted Features 【3 in 1 Multi-Tray Projector Stand】Designed for convenience, this projector stand tripod features a large upper tray (11.22” x 15.16”) for projectors or laptops, plus two side and lower trays for accessories, remotes, phones, or cables—keeping everything organized and within reach. 【Easy Height Adjustment for Any Setup】Change the height from 29.5” to 71” to suit seated or standing use. Whether you need a projector tripod stand for meetings or a portable projector stand for events, this flexible design ensures optimal viewing and professional alignment every time. 【Heavy-Duty & Stable Stand】This heavy duty projector stand is engineered to support up to 33 lb, making it ideal for projectors, laptops, tablets, and streaming equipment. Built with a durable iron frame, it delivers reliable stability for home theaters, offices, classrooms, and live presentations. 【180 Adjustable Angle】The top tray offers a full 180-degree tilt, allowing you to easily set the perfect projection or working angle. This makes it a versatile projector holder stand and laptop tripod stand for presentations, DJ setups, virtual meetings, or movie nights. 【Comfortable, Portable & Easy to Use】Foam padding and sponge support help protect your devices from slipping or scratches. Lightweight yet sturdy, this adjustable projector stand is easy to assemble, move, and store—perfect for anyone needing reliable projector stands at home or on the go. Product Description Upgrade your setup with this adjustable projector stand designed for stability, flexibility, and everyday convenience. Built with a strong iron frame, it supports up to 33 lb and securely holds projectors, laptops, or streaming devices. The height adjusts from 29.5" to 71", making it suitable for seated or standing use at home, in the office, or during presentations. A 180-degree tilt allows precise angle control for clear projection and comfortable viewing. The multi-tray design keeps accessories organized, while padded surfaces help protect your equipment. Easy to assemble and portable, this projector stand offers a reliable solution for versatile setups.Please Note- Laptop and Projector shown in images are ...	7616090144961006862	5 Core Inc	2026-03-11 14:59	Ineligible	Unavailable	TikTok Shop official account	2.500	0	0.000	0.000	66	1	1.52%	0.00%	14.75%	3.28%	3.28%	3.28%	3.28%	3.28%	USD
PIANO AND KEYBOARD BENCH	1872052711552082	1730947707311657006	Product card	-	N/A	-	-	Exploring	Exploring	N/A	6.283	0	0.000	0.000	4526	42	0.93%	0.00%	-	-	-	-	-	-	USD
GUITAR STOOL	1872025698491474	1732141921010094126	Product card	-	N/A	-	-	Exploring	Exploring	N/A	1.601	0	0.000	0.000	921	17	1.85%	0.00%	-	-	-	-	-	-	USD
SPEAKER STAND	1872055844656625	1732351724659642414	Product card	-	N/A	-	-	Exploring	Exploring	N/A	6.213	0	0.000	0.000	6795	136	2.00%	0.00%	-	-	-	-	-	-	USD
DRUM THRONE	1871985994267697	1730935708028997678	Product card	-	N/A	-	-	Exploring	Exploring	N/A	11.011	0	0.000	0.000	8649	105	1.21%	0.00%	-	-	-	-	-	-	USD
SHEET MUSIC STAND	1872070461416593	1730947741646753838	Product card	-	N/A	-	-	Exploring	Exploring	N/A	0.183	0	0.000	0.000	52	1	1.92%	0.00%	-	-	-	-	-	-	USD
DRUM THRONE BACKREST	1872022557764657	1731980607279697966	Product card	-	N/A	-	-	Exploring	Exploring	N/A	11.549	0	0.000	0.000	16325	117	0.72%	0.00%	-	-	-	-	-	-	USD
GUITAR RACK	1872024508866833	N/A	Product card	-	N/A	-	-	Exploring	Exploring	N/A	0.170	0	0.000	0.000	0	0	0.00%	0.00%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	1731768186015289390	Video	【Height Adjustable Mic Stand 】– Easily raise or lower the microphone position from 18 to 72 inches, making it perfect for both stage and studio use. 【Extendable Boom】– 29.5-inch overhead telescoping arm with crossbar adjustment. Rotates 180 degrees for precise positioning. 【Super Tough Build】– This pedestal para micrófono features durable metal construction, reinforced joints, and a clutch system, supporting up to 4.5 lbs. 【Super Stable Mic Stand】– Tripod legs provide excellent stability, while the wider base prevents tipping, even on uneven surfaces. 【Portable Design】– Folds and assembles in minutes, making it easy to carry and store in compact spaces. Product Description Improve your performance with our height-adjustable tripod boom mic stand, offering a range from 18 inches to 72 inches. The extendable boom arm has a length of 29.5 inches, and it can rotate 180 degrees, providing versatile positioning. Built from heavy-duty metal, this microphone boom stand features sturdy legs with rubber caps, ensuring stability on any surface. Its reinforced clutch supports up to 4.5 lbs. Designed for convenience, the pedestal para microfono collapses for easy assembly and storage, making it highly portable. Enhance your audio setup with this reliable, adjustable, and portable floor mic stand. Important Note- Kindly place the boom arm parallel to the leg for maximum stability. Features UNIVERSAL MIC HOLDER ANGLE ADJUSTMENT WIRE MANAGEMENT FOLDABLE TRIPOD The included clip in the package accommodates most handheld dynamic microphones. It also features an anti-slip design. The boom arm rotates up-to 180 degrees, making it perfect for use during standing or while seated. Ideal for kids and adults. The boom mic stand comes with wire clip. It helps to eliminate loose cables and tidy up setup. Also reduce any trip hazard. The tripod legs offer great stability and increased weight capacity. They are also foldable to ensure easy carrying. Adjustable Mic Stand Specification: Color: Dark Blue Build Material- Metal Maximum Tripod Height- 18 Inch Minimum Tripod Height- 72 Inch Boom Arm Length- 29.5 Inch Package Includes: 2x Adjustable Mic Stand 2x Mic Holder 2x Windscreen foam 2x ...	7614605859087273229	5 Core Inc	2026-03-07 15:00	Ineligible	Unavailable	TikTok Shop official account	0.000	0	0.000	0.000	0	0	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	USD
KEYBOARD STAND	1872054276884850	1731036633295130670	Video	excuse my nails, the lint on the floor, and the bleach staind but here are instructions on how to put the 5 core x shaped keyboard 🎹 stand together. #howto #keyboardstand #musiceqipment #musicfamily #musicians 	7588591579334528311	Cassandra Spice C Ba	2025-12-27 12:31	Ineligible	Authorization needed	Affiliate mass authorization	0.000	0	0.000	0.000	0	0	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	USD
PARENT CS 69 4Pcs	1871349924030865	1732271614483533870	Product card	-	N/A	-	-	Exploring	Exploring	N/A	0.000	0	0.000	0.000	0	0	0.00%	0.00%	-	-	-	-	-	-	USD
A FRAME GUITAR STAND	1872069106454578	1730812204235460654	Product card	-	N/A	-	-	Exploring	Exploring	N/A	4.761	0	0.000	0.000	1793	20	1.12%	0.00%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	1731768243751981102	Product card	-	N/A	-	-	Exploring	Exploring	N/A	2.866	0	0.000	0.000	3467	57	1.64%	0.00%	-	-	-	-	-	-	USD
DRUM THRONE	1871985994267697	N/A	Product card	-	N/A	-	-	Exploring	Exploring	N/A	0.120	0	0.000	0.000	0	0	0.00%	0.00%	-	-	-	-	-	-	USD
DRUM THRONE BACKREST	1872022557764657	1731757087308156974	Video	5 core seat/chair for drummers or musicaians #chair #drummer #musician 	7572053085418245431	ttshopdeals	2025-11-12 22:53	Ineligible	Unavailable	Affiliate mass authorization	0.000	0	0.000	0.000	0	0	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	USD
A FRAME GUITAR STAND	1872069106454578	N/A	Video	"This heavy-duty A frame metal guitar stand floor offers unparalleled stability and durability with its thick steel construction and reinforced welded joints. Adjustable to fit acoustic, electric, ukulele, and bass guitars, this guitar support features soft padding to protect against scratches and dents.

Anti-slip rubberized feet ensure your instrument stays secure. The folding guitar stand is easy to use, requiring no special tools for setup, and collapses for convenient portability. Designed for longevity with anti-corrosion paint, this A frame guitar holder provides a secure cradle arm to hold any guitar size. Perfect for musicians seeking a reliable and portable solution to safely display and store their instruments. #gymbagessentials #customgrips #pickleballpaddlereview #golfgadgets #motorcyclestand #schecterguitars #golfequipmentreview #bestphoneholder #tabletholderstand #heavydutybackdropstand #GuitarStand #GuitarAccessories #MusicGear #HomeStudioSetup #ShopOnTikTok"	7636543989411286286	5 Core Inc	2026-05-05 17:51	Ineligible	Authorization needed	N/A	0.000	0	0.000	0.000	0	0	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	USD
SPEAKER STAND	1872055844656625	1731768293833347118	Video		7620961926595497229	5 Core Inc	2026-03-24 18:04	Ineligible	Unavailable	TikTok Shop official account	0.000	0	0.000	0.000	0	0	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	USD
DRUM THRONE	1871985994267697	1730935705671733294	Product card	-	N/A	-	-	Exploring	Exploring	N/A	2.063	0	0.000	0.000	1906	24	1.26%	0.00%	-	-	-	-	-	-	USD
GUITAR STOOL	1872025698491474	1732438385241919534	Product card	-	N/A	-	-	Exploring	Exploring	N/A	1.599	0	0.000	0.000	912	17	1.86%	0.00%	-	-	-	-	-	-	USD
GUITAR STOOL	1872025698491474	1732372282739232814	Product card	-	N/A	-	-	Exploring	Exploring	N/A	2.183	0	0.000	0.000	903	17	1.88%	0.00%	-	-	-	-	-	-	USD
DRUM THRONE BACKREST	1872022557764657	1731980594484383790	Product card	-	N/A	-	-	Exploring	Exploring	N/A	10.634	0	0.000	0.000	16239	116	0.71%	0.00%	-	-	-	-	-	-	USD
SPEAKER STAND	1872055844656625	1731768224391598126	Product card	-	N/A	-	-	Exploring	Exploring	N/A	6.567	0	0.000	0.000	7153	151	2.11%	0.00%	-	-	-	-	-	-	USD
SPEAKER STAND	1872055844656625	1730941341498314798	Product card	-	N/A	-	-	Exploring	Exploring	N/A	3.044	0	0.000	0.000	3009	47	1.56%	0.00%	-	-	-	-	-	-	USD
TRIPOD GUITAR STAND	1872023345120273	N/A	Video	Rock-solid support for your guitars 🎶 5CORE Heavy-Duty Floor Guitar Stand | Adjustable w/ neck holder | Perfect for acoustic, electric, classic & bass guitars 🛒 #5CoreAudio #GuitarStand #MusicianGear #GuitarStorage #ElectricGuitar #AcousticGuitar #BassGuitar #StudioGear #TikTokShop #TikTokMadeMeBuyIt #5core	7541873909990182158	5 Core Inc	2025-08-28 14:30	Ineligible	Authorization needed	N/A	0.000	0	0.000	0.000	0	0	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	USD
SPEAKER STAND	1872055844656625	1730941311020404782	Product card	-	N/A	-	-	Exploring	Exploring	N/A	2.873	0	0.000	0.000	3285	61	1.86%	0.00%	-	-	-	-	-	-	USD
SPEAKER STAND	1872055844656625	1732372396892196910	Product card	-	N/A	-	-	Exploring	Exploring	N/A	2.920	0	0.000	0.000	2895	55	1.90%	0.00%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	N/A	Product card	-	N/A	-	-	Exploring	Exploring	N/A	0.400	0	0.000	0.000	0	0	0.00%	0.00%	-	-	-	-	-	-	USD
TRIPOD MIC STAND	1872057135332658	1730941377171460142	Video	#microphone #stand #universal #ajustable	7565324246554135821	EL TORÍTO	2025-10-25 19:42	Ineligible	Authorization needed	Affiliate mass authorization	0.000	0	0.000	0.000	0	0	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	USD
A FRAME GUITAR STAND	1872069106454578	1731762736129216558	Video	【Strong A-Frame Guitar Stand 】This guitar floor stand features a classic A-frame structure made from durable steel and iron, offering solid support for your instruments. The wide base and stable build help keep your guitar secure. 【Soft EVA and Rubber Padding】Both arms are padded with soft EVA foam, while the backrest uses rubber padding to protect your instrument’s finish. No scratches, no damage—just safe storage for your acoustic, electric, or bass guitar. 【Compact & Foldable】The folding guitar stand folds flat quickly, making it easy to carry or store when not in use. No loose parts or tools required—perfect for travel, stage use, or home. 【Universal Compatibility】With a 12-inch max leg width and 8-inch arm length, this foldable stand fits various instruments such as acoustic guitars, electric guitars, basses, ukuleles, and banjos. 【Non-Slip Feet for Stability】Equipped with anti-slip rubber feet that grip the floor, this guitar holder stays in place and prevents tipping over. Great for studio, bedroom, or stage setups. Product Description: This heavy-duty A frame metal guitar stand floor offers unmatched stability and durability with its thick steel construction and reinforced welded joints. Adjustable to fit acoustic, electric, ukulele, and bass guitars, this guitar support features soft padding to protect against scratches and dents. Anti-slip rubberized feet ensure your instrument stays secure. The guitar stand is easy to use, requiring no special tools for setup, and collapses for convenient portability. Designed for longevity with anti-corrosion paint, this A frame guitar holder provides a secure cradle arm to hold any guitar size. Perfect for musicians seeking a reliable and portable solution to safely display and store their instruments. Features: STRONG & LONG LASTING CRADLE ARM A-FRAME STRUCTURE EASY TO USE Built from heavy duty metal to be sturdy and stable, our stand securely holds your guitar without tipping over. It’s designed to last. The unique shape of the arms holds large or small guitars safely. It increases the instrument compatibility significantly. Designed to match the body and weight of the guitar, providing enhanced stability and ...	7614976877815516429	5 Core Inc	2026-03-08 15:00	Explored	Performing	TikTok Shop official account	12.312	0	0.000	0.000	454	4	0.88%	0.00%	13.70%	4.57%	2.40%	1.20%	1.20%	0.24%	USD
A FRAME GUITAR STAND	1872069106454578	1732417399464300590	Product card	-	N/A	-	-	Exploring	Exploring	N/A	1.228	0	0.000	0.000	967	9	0.93%	0.00%	-	-	-	-	-	-	USD
GUITAR RACK	1872024508866833	1730947807875010606	Product card	-	N/A	-	-	Exploring	Exploring	N/A	27.901	0	0.000	0.000	9646	145	1.50%	0.00%	-	-	-	-	-	-	USD
SHEET MUSIC STAND	1872070461416593	1730947773098790958	Product card	-	N/A	-	-	Exploring	Exploring	N/A	0.023	0	0.000	0.000	30	0	0.00%	0.00%	-	-	-	-	-	-	USD
GUITAR STOOL	1872025698491474	N/A	Product card	-	N/A	-	-	Exploring	Exploring	N/A	0.120	0	0.000	0.000	0	0	0.00%	0.00%	-	-	-	-	-	-	USD
15 GTR	1872023345137857	1732028399717486638	Product card	-	N/A	-	-	Exploring	Exploring	N/A	103.468	0	0.000	0.000	18627	245	1.32%	0.00%	-	-	-	-	-	-	USD
GUITAR STOOL	1872025698491474	1732321199533887534	Product card	-	N/A	-	-	Exploring	Exploring	N/A	2.715	0	0.000	0.000	963	19	1.97%	0.00%	-	-	-	-	-	-	USD
A FRAME GUITAR STAND	1872069106454578	1730812204235460654	Video	"This heavy-duty A frame metal guitar stand floor offers unparalleled stability and durability with its thick steel construction and reinforced welded joints. Adjustable to fit acoustic, electric, ukulele, and bass guitars, this guitar support features soft padding to protect against scratches and dents.

Anti-slip rubberized feet ensure your instrument stays secure. The guitar stand is easy to use, requiring no special tools for setup, and collapses for convenient portability. Designed for longevity with anti-corrosion paint, this A frame guitar holder provides a secure cradle arm to hold any guitar size. Perfect for musicians seeking a reliable and portable solution to safely display and store their instruments. #GuitarStand #GuitarAccessories #MusicGear #HomeStudioSetup #TikTokShop"	7636547789761088781	5 Core Inc	2026-05-05 18:06	Explored	Performing	TikTok Shop official account	3.100	0	0.000	0.000	69	1	1.45%	0.00%	27.69%	9.23%	6.15%	4.62%	4.62%	1.54%	USD
DRUM THRONE	1871985994267697	1730935700759547950	Product card	-	N/A	-	-	Exploring	Exploring	N/A	7.998	0	0.000	0.000	8540	97	1.14%	0.00%	-	-	-	-	-	-	USD
KEYBORARD STAND BENCH COMBO	1872051299399841	N/A	Product card	-	N/A	-	-	Exploring	Exploring	N/A	0.000	0	0.000	0.000	0	0	0.00%	0.00%	-	-	-	-	-	-	USD
KEYBOARD STAND	1872054276884850	1732031466537586734	Product card	-	N/A	-	-	Exploring	Exploring	N/A	12.323	0	0.000	0.000	13084	219	1.67%	0.00%	-	-	-	-	-	-	USD
GUITAR STOOL	1872025698491474	1732321199410483246	Product card	-	N/A	-	-	Exploring	Exploring	N/A	1.830	0	0.000	0.000	945	18	1.90%	0.00%	-	-	-	-	-	-	USD
KEYBOARD STAND	1872054276884850	1731036643762933806	Product card	-	N/A	-	-	Exploring	Exploring	N/A	6.622	0	0.000	0.000	8697	164	1.89%	0.00%	-	-	-	-	-	-	USD
SPEAKER STAND	1872055844656625	1730812113012035630	Product card	-	N/A	-	-	Exploring	Exploring	N/A	2.869	0	0.000	0.000	2812	53	1.88%	0.00%	-	-	-	-	-	-	USD
DRUM THRONE	1871985994267697	1730928218183471150	Product card	-	N/A	-	-	Exploring	Exploring	N/A	8.083	0	0.000	0.000	8578	102	1.19%	0.00%	-	-	-	-	-	-	USD
DRUM MIC	1871983978647873	1732077524095176750	Product card	-	N/A	-	-	Exploring	Exploring	N/A	21.198	0	0.000	0.000	10520	130	1.24%	0.00%	-	-	-	-	-	-	USD
DRUM MIC	1871983978647873	1732077458659643438	Product card	-	N/A	-	-	Exploring	Exploring	N/A	12.088	0	0.000	0.000	10376	122	1.18%	0.00%	-	-	-	-	-	-	USD
