Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Order basic information	Taxes on non-order income	Number of items sold	Province	City	Buyer Tax ID	ID card	Seller Tax ID	Product Origin
Normal Order	GSU183416000FG0		Pending Pickup	direct	No	No	No	No	5 Core Microphone Stand 3 Level Height Adjustable 24-67" W Heavy Duty Round Base Floor Mic Stands	MS RBL 3T	Black(黑色)-	MS RBL 3T	I48bnr4mzco8	sl25042995694041321	19190031573	Pending Pickup	Stocking	Not replaced			No	2026-July-05 23:13			2026-July-15 00:59		92346902673388000025598001	GWU2607070931139586	USD	23.99	0	0	2.88	21.11	0	0	1.65	1	COLORADO	Fort Lupton				
Normal Order	GSU183026001N18		Delivered	direct	No	No	No	No	5 CORE Micrófono portátil BT 2 2 piezas, micrófono portátil todo en 1 con grabadora de altavoz Microfono Inalambrico - WM SPK PNK+BLU	WM SPK PNK+BLU	PINK AND BLUE(粉色和蓝色)-	WM SPK PNK+BLU	I38e9y3aa803	se25050439269136358	19189565113	Delivered	Stocking	Not replaced			No	2026-July-05 22:22			2026-July-15 00:59	2026-July-13 10:08	GFUS01060481857986	GWU2607064629601282	USD	15.89	0	0	1.27	14.62	0	0	1.11	1	FLORIDA	Doral				
Normal Order	GSU183026001N18		Delivered	direct	No	No	No	No	5 CORE Micrófono portátil BT 2 2 piezas, micrófono portátil todo en 1 con grabadora de altavoz Microfono Inalambrico - WM SPK PNK+BLU	WM SPK PNK+BLU	PINK AND BLUE(粉色和蓝色)-	WM SPK PNK+BLU	I38e9y3aa803	se25050439269136358	19189565118	Delivered	Stocking	Not replaced			No	2026-July-05 22:22			2026-July-15 00:59	2026-July-13 10:08	GFUS01060481857986	GWU2607064629601282	USD	15.89	0	0	1.27	14.62	0	0	1.11	1	FLORIDA	Doral				
Normal Order	GSU183495000SV8		Delivered	direct	No	No	No	No	5 CORE Soporte de pie para micrófono trípode ajustable de 18 a 72 pulgadas, brazo de boom resistente, pedestal para micrófono para cantar - MS 080 WH	MS 080 WH	White(白色)-	MS 080 WH	I08bt7a36dre	sl25042900807637044	19188926468	Delivered	Stocking	Not replaced			No	2026-July-05 21:30			2026-July-15 00:59	2026-July-09 07:25	GFUS01060483167363	GWU2607064629532672	USD	17.84	0	0	2.14	15.7	0	0	1.18	1	NEW JERSEY	New Brunswick				
Normal Order	GSU18304C0021JG		Delivered	direct	No	No	No	No	5 CORE Trípode ajustable para micrófono, de 31 a 76 pulgadas de altura, con brazo de micrófono giratorio 360 grados y soporte dual para micrófono - MS DBL	MS DBL	Black(黑色)-	MS DBL	I04n75bpgp4w	sl25042902214479763	19184195503	Delivered	Stocking	Not replaced			No	2026-July-05 16:01			2026-July-15 00:59	2026-July-13 12:11	92346902673388000025597967	GWU2607070931075075	USD	15.08	0	0	1.81	13.27	0	0	1.47	1	CALIFORNIA	Los Angeles				
Normal Order	GSU18346C00M8H4		Delivered	direct	No	No	No	No	5 Core Megaphone 30W Bull Horn PA Speaker W 800Yard Range	6R	White(白色)-	6R	I18ea0hs9oqy	se25050433167929536	19184035958	Delivered	Stocking	Not replaced			No	2026-July-05 15:49			2026-July-15 00:59	2026-July-08 11:28	GFUS01060481045059	GWU2607064629467136	USD	15.19	0	0	1.22	13.97	0	0	1.2	1	WISCONSIN	Milwaukee				
Normal Order	GSU1833210018Y0		Delivered	direct	No	No	No	No	5 CORE 5Core Dynamic Wired Microphone Mic Singing Handheld Mics	PM 608	Black(黑色)-	PM 608	I08bt67x0gi0	se25042923323352766	19181911303	Delivered	Stocking	Not replaced			No	2026-July-05 13:00			2026-July-15 00:59	2026-July-13 09:31	GFUS01060480906562	GWU2607064629404674	USD	8.88	0	0	0.71	8.17	0	0	0.62	1	FLORIDA	Doral				
Normal Order	GSU18326100179N		Delivered	direct	No	No	No	No	5 CORE 5Core Microphone Wireless Bluetooth Karaoke Mic With Speaker	WM SPK BLU	Blue(蓝色)-	WM SPK BLU	I08e9xp4wmek	se25050497677133391	19181854038	Delivered	Stocking	Not replaced			No	2026-July-05 12:55			2026-July-15 00:59	2026-July-11 12:02	GFUS01060480855297	GWU2607064629402627	USD	10.99	0	0	0.88	10.11	0	0	0.86	1	CALIFORNIA	Lakeside				
Normal Order	GSU183080000JEH		Delivered	direct	No	No	No	No	5 CORE Megáfono de bocina de toro de 30W, altavoz portátil con un alcance de 800 yardas y control de volumen, grabación, sirena y generador de ruido para niños y adultos, ideal para animación, fútbol y eventos al aire libre - 8R-USB WoB	8R-USB WoB	White(白色)-	8R-USB WoB	I08ea9tp3kri	se25050440720216001	19179588693	Delivered	Stocking	Not replaced			No	2026-July-05 09:35			2026-July-15 00:59	2026-July-13 09:20	GFUS01060343656641	GWU2607060150215681	USD	16.14	0	0	1.29	14.85	0	0	1.13	1	FLORIDA	Miami				
Normal Order	GSU18W03F00MMT3		Delivered	direct	No	No	No	No	5 Core Music Stand Adjustable 57" Desktop Book Stands Sheet Holder All Metal Portable Bookstand	MUS FLD GR	Green(绿色)-	MUS FLD GR	I5mmwetl0oov7f	sh260319030350127445515	19179403398	Delivered	Stocking	Not replaced			No	2026-July-05 09:16			2026-July-15 00:59	2026-July-10 10:07	GFUS01060343381506	GWU2607060142810115	USD	14.49	0	0	1.74	12.75	0	0	1.05	1	NORTH CAROLINA	Raleigh				
Normal Order	GSU18W36F000XV5		Customer Refunded	direct	No	No	No	No	5 Core Microphone Stand 3 Level Height Adjustable 24-67" W Heavy Duty Round Base Floor Mic Stands	MS RBL 3T	Black(黑色)-	MS RBL 3T	I48bnr4mzco8	sl25042995694041321	19179321388	Customer Refunded	Stocking	Not replaced			No	2026-July-05 09:06			2026-July-15 00:59	2026-July-09 11:18	9334610990370297594585	GWU2607060281350147	USD	23.99	0	0	2.88	21.11	0	0	1.68	1	INDIANA	Crown Point				
Normal Order	GSU18W36F000XV5		Customer Refunded	direct	No	No	No	No	5 CORE 5Core Microphone Wireless Bluetooth Karaoke Mic With Speaker	WM SPK BLK	Black(黑色)-	WM SPK BLK	I14pnvtrhgdi	se25050403712212187	19179321393	Customer Refunded	Stocking	Not replaced			No	2026-July-05 09:06			2026-July-15 00:59	2026-July-09 11:18	9334610990370297594585	GWU2607060281350147	USD	10.99	0	0	0.88	10.11	0	0	0.77	1	INDIANA	Crown Point				
Normal Order	GSU18W48T00NBT2		Delivered	direct	No	No	No	No	5 CORE 5Core Microphone Wireless Bluetooth Karaoke Mic With Speaker	WM SPK BLK	Black(黑色)-	WM SPK BLK	I14pnvtrhgdi	se25050403712212187	19176131073	Delivered	Stocking	Not replaced			No	2026-July-04 21:10			2026-July-15 00:59	2026-July-12 14:06	GFUS01060344132162	GWU2607060165550081	USD	10.99	0	0	0.88	10.11	0	0	0.92	1	TEXAS	Vidor				
Normal Order	GSU18W62T000P5V		Shipped	direct	No	No	No	No	5 Core Keyboard Stand X Shape Height Adjustable Foldable Portable Key Board DJ Controller Stands	KS 1X WH	White(白色)-	KS 1X WH	I7mmwetc0v1hv5	sh260319030327701597765	19176076123	Shipped	Stocking	Not replaced			No	2026-July-04 21:04			2026-July-15 00:59		9334610990150188366060	GWU2607060281418755	USD	17.84	0	0	2.14	15.7	0	0	1.25	1	FLORIDA	Hallandale				
Normal Order	GSU18W36Q00M444		Delivered	direct	No	No	No	No	5 Core Compression Driver 1″ PA Horn Tweeter Pro Audio 800W 1.75″ Voice Coil 20Oz Magnet 8Ohm Driver	CD 110	A-	CD 110	I9mmwety9yudb3	sq260319030476648950062	19175662213	Delivered	Stocking	Not replaced			No	2026-July-04 20:14			2026-July-15 00:59	2026-July-10 11:42	9334610990370297605014	GWU2607060881594368	USD	17.42	0	0	2.09	15.33	0	0	1.09	1	MASSACHUSETTS	Hyannis				
Normal Order	GSU18W36Q00M444		Delivered	direct	No	No	No	No	5 Core Compression Driver 1″ PA Horn Tweeter Pro Audio 800W 1.75″ Voice Coil 20Oz Magnet 8Ohm Driver	CD 110	A-	CD 110	I9mmwety9yudb3	sq260319030476648950062	19175662218	Delivered	Stocking	Not replaced			No	2026-July-04 20:14			2026-July-15 00:59	2026-July-10 11:42	9334610990370297605014	GWU2607060881594368	USD	17.42	0	0	2.09	15.33	0	0	1.09	1	MASSACHUSETTS	Hyannis				
Normal Order	GSU18W36Q00M444		Delivered	direct	No	No	No	No	5 Core Compression Driver 1″ PA Horn Tweeter Pro Audio 800W 1.75″ Voice Coil 20Oz Magnet 8Ohm Driver	CD 110	A-	CD 110	I9mmwety9yudb3	sq260319030476648950062	19175662223	Delivered	Stocking	Not replaced			No	2026-July-04 20:14			2026-July-15 00:59	2026-July-10 11:42	9334610990370297605014	GWU2607060881594368	USD	17.42	0	0	2.09	15.33	0	0	1.09	1	MASSACHUSETTS	Hyannis				
Normal Order	GSU18W36Q00M444		Delivered	direct	No	No	No	No	5 Core Compression Driver 1″ PA Horn Tweeter Pro Audio 800W 1.75″ Voice Coil 20Oz Magnet 8Ohm Driver	CD 110	A-	CD 110	I9mmwety9yudb3	sq260319030476648950062	19175662228	Delivered	Stocking	Not replaced			No	2026-July-04 20:14			2026-July-15 00:59	2026-July-10 11:42	9334610990370297605014	GWU2607060881594368	USD	17.42	0	0	2.09	15.33	0	0	1.09	1	MASSACHUSETTS	Hyannis				
Normal Order	GSU18W36Q00M444		Delivered	direct	No	No	No	No	5 Core Compression Driver 1″ PA Horn Tweeter Pro Audio 800W 1.75″ Voice Coil 20Oz Magnet 8Ohm Driver	CD 110	A-	CD 110	I9mmwety9yudb3	sq260319030476648950062	19175662233	Delivered	Stocking	Not replaced			No	2026-July-04 20:14			2026-July-15 00:59	2026-July-10 11:42	9334610990370297605014	GWU2607060881594368	USD	17.42	0	0	2.09	15.33	0	0	1.09	1	MASSACHUSETTS	Hyannis				
Normal Order	GSU18W36Q00M444		Delivered	direct	No	No	No	No	5 Core Compression Driver 1″ PA Horn Tweeter Pro Audio 800W 1.75″ Voice Coil 20Oz Magnet 8Ohm Driver	CD 110	A-	CD 110	I9mmwety9yudb3	sq260319030476648950062	19175662238	Delivered	Stocking	Not replaced			No	2026-July-04 20:14			2026-July-15 00:59	2026-July-10 11:42	9334610990370297605014	GWU2607060881594368	USD	17.42	0	0	2.09	15.33	0	0	1.08	1	MASSACHUSETTS	Hyannis				
Normal Order	GSU18W27Q000SPU		Delivered	direct	No	No	No	No	5 Core Keyboard Bench 3 Inch Padded Piano Stool Adjustable 20.5" Guitar Seat Heavy Duty Portable	KBB WH HD	White(白色)-	KBB WH HD	I0mqib6xx9xq66	sh260618005255270674813	19175345048	Delivered	Stocking	Not replaced			No	2026-July-04 19:35			2026-July-15 00:59	2026-July-10 13:25	GFUS01060344434176	GWU2607060175446017	USD	23.99	0	0	2.88	21.11	0	0	1.44	1	VIRGINIA	Springfield				
Normal Order	GSU18W05Q0019JY		Delivered	direct	No	No	No	No	5 CORE 5Core Microphone Wireless Bluetooth Karaoke Mic With Speaker	WM SPK BLU	Blue(蓝色)-	WM SPK BLU	I08e9xp4wmek	se25050497677133391	19175265233	Delivered	Stocking	Not replaced			No	2026-July-04 19:26			2026-July-15 00:59	2026-July-11 11:06	GFUS01060344668352	GWU2607060182656003	USD	10.99	0	0	0.88	10.11	0	0	0.96	1	CALIFORNIA	Elk Grove				
Normal Order	GSU18W39400N67N		Delivered	direct	No	No	No	No	5 CORE 5Core Sheet Music Stand Height Adjustable Bookstand Foldable	MUS FLD HD ACC WH	White(白色)-	MUS FLD HD ACC WH	I88a4rkfl1x9	sl25042923103817173	19175218783	Delivered	Stocking	Not replaced			No	2026-July-04 19:20			2026-July-15 00:59	2026-July-11 14:16	GFUS01060344829441	GWU2607060188552195	USD	22.99	0	0	2.76	20.23	0	0	1.66	1	UTAH	Clearfield				
Normal Order	GSU18W05U001FBD		Delivered	direct	No	No	No	No	5 Core Megaphone 30W Bull Horn PA Speaker W 800Yard Range	6R	White(白色)-	6R	I18ea0hs9oqy	se25050433167929536	19172767493	Delivered	Stocking	Not replaced			No	2026-July-04 14:47			2026-July-15 00:59	2026-July-09 07:37	GFUS01060345039044	GWU2607060195694595	USD	15.19	0	0	1.22	13.97	0	0	0.91	1	PENNSYLVANIA	Philadelphia				
Normal Order	GSU18W25100N4VR		Delivered	direct	No	No	No	No	5 CORE Music Stand For Sheet Music Tripod Height Adjustable Portable Folding Note Holder Atril Para Partituras W Light Clip - MUS FLD HD ACC BLK	MUS FLD HD ACC BLK	Black(黑色)-	MUS FLD HD ACC BLK	I14lipm41ucv	sl25042900160069869	19171540288	Delivered	Stocking	Not replaced			No	2026-July-04 12:40			2026-July-15 00:59	2026-July-10 09:40	GFUS01060345262528	GWU2607060202380289	USD	21.86	0	0	2.62	19.24	0	0	1.31	1	VIRGINIA	Virginia Beach				
Normal Order	GSU18W56N000EEP		Delivered	direct	No	No	No	No	5 Core Keyboard Bench 2 Inch Padded Cushioned Piano Stool Height Adjustable 19" Guitar Seat Portable	KBB 02 BLK	Black(黑色)-	KBB 02 BLK	I48dih2myf7j	sl25050362400690469	19171108713	Delivered	Stocking	Not replaced			No	2026-July-04 11:55			2026-July-15 00:59	2026-July-11 11:02	9334610990370297602198	GWU2607060281351171	USD	18.4	0	0	2.21	16.19	0	0	1.01	1	WISCONSIN	Rice Lake				
Normal Order	GSU18C34B00NEJ6		Delivered	direct	No	No	No	No	5 CORE Soporte de micrófono ajustable en altura de pie, base redonda universal de gran resistencia para estudio, canto, iglesia, escenario - MS RBL 3T	MS RBL 3T	Black(黑色)-	MS RBL 3T	I48bnr4mzco8	sl25042995694041321	19168989668	Delivered	Stocking	Not replaced			No	2026-July-04 08:21			2026-July-15 00:59	2026-July-08 07:24	92346902673388000023605039	GWU2607050009310209	USD	23.99	0	0	2.88	21.11	0	0	1.68	1	FLORIDA	Miami				
Normal Order	GSU18C58B00MWLK		Delivered	direct	No	No	No	No	5 CORE 5Core Microphone Wireless Bluetooth Karaoke Mic With Speaker	WM SPK BLK	Black(黑色)-	WM SPK BLK	I14pnvtrhgdi	se25050403712212187	19168847333	Delivered	Stocking	Not replaced			No	2026-July-04 08:02			2026-July-15 00:59	2026-July-13 10:19	92346902673388000023604636	GWU2607050002365441	USD	10.99	0	0	0.88	10.11	0	0	0.74	1	NEW MEXICO	Santa Cruz				
Normal Order	GSU18C58B00MWLK		Delivered	direct	No	No	No	No	5 CORE 5Core Microphone Wireless Bluetooth Karaoke Mic With Speaker	WM SPK BLK	Black(黑色)-	WM SPK BLK	I14pnvtrhgdi	se25050403712212187	19168847338	Delivered	Stocking	Not replaced			No	2026-July-04 08:02			2026-July-15 00:59	2026-July-13 10:19	92346902673388000023604636	GWU2607050002365441	USD	10.99	0	0	0.88	10.11	0	0	0.76	1	NEW MEXICO	Santa Cruz				
Normal Order	GSU18C58B00MWLK		Delivered	direct	No	No	No	No	5 CORE 5Core Microphone Wireless Bluetooth Karaoke Mic With Speaker	WM SPK BLK	Black(黑色)-	WM SPK BLK	I14pnvtrhgdi	se25050403712212187	19168847343	Delivered	Stocking	Not replaced			No	2026-July-04 08:02			2026-July-15 00:59	2026-July-13 10:19	92346902673388000023604636	GWU2607050002365441	USD	10.99	0	0	0.88	10.11	0	0	0.76	1	NEW MEXICO	Santa Cruz				
Normal Order	GSU18C58B00MWLK		Delivered	direct	No	No	No	No	5 CORE 5Core Microphone Wireless Bluetooth Karaoke Mic With Speaker	WM SPK BLK	Black(黑色)-	WM SPK BLK	I14pnvtrhgdi	se25050403712212187	19168847348	Delivered	Stocking	Not replaced			No	2026-July-04 08:02			2026-July-15 00:59	2026-July-13 10:19	92346902673388000023604636	GWU2607050002365441	USD	10.99	0	0	0.88	10.11	0	0	0.76	1	NEW MEXICO	Santa Cruz				
Normal Order	GSU18C285002NSB		Delivered	direct	No	No	No	No	5 Core Mic Stand Floor Universal Height Adjustable Tripod Microphone Stands Holds 2 Mics W Extending Telescoping Boom Arm Foldable Portable For Studio On Stage	MS DBL G YLW	Yellow(黄色)-	MS DBL G YLW	I74n755ucsp2	sl25042927273760867	19165990403	Delivered	Stocking	Not replaced			No	2026-July-03 22:12			2026-July-15 00:59	2026-July-08 09:00	GFUS01060136864131	GWU2607044859761665	USD	14.99	0	0	1.8	13.19	0	0	1.24	1	TEXAS	Beaumont				
Normal Order	GSU18C533001Q6D		Delivered	direct	No	No	No	No	5 CORE Music Stand For Sheet Music Tripod Height Adjustable Portable Folding Note Holder Atril Para Partituras W Light Clip - MUS FLD HD ACC BLK	MUS FLD HD ACC BLK	Black(黑色)-	MUS FLD HD ACC BLK	I14lipm41ucv	sl25042900160069869	19163550268	Delivered	Stocking	Not replaced			No	2026-July-03 18:21			2026-July-15 00:59	2026-July-10 10:54	GFUS01060136755393	GWU2607044859761664	USD	21.86	0	0	2.62	19.24	0	0	1.69	1	CALIFORNIA	San Diego				
Normal Order	GSU18C29C00MM6Y		Delivered	direct	No	No	No	No	5 CORE 5Core Microphone Wireless Bluetooth Karaoke Mic With Speaker	WM SPK BLK	Black(黑色)-	WM SPK BLK	I14pnvtrhgdi	se25050403712212187	19162131443	Delivered	Stocking	Not replaced			No	2026-July-03 16:07			2026-July-15 00:59	2026-July-10 10:47	92346902673388000023555990	GWU2607044891939843	USD	10.99	0	0	0.88	10.11	0	0	0.88	1	ALABAMA	Mount Hope				
Normal Order	GSU18C25U002242		Delivered	direct	No	No	No	No	5 Core Speaker Stand Pair Adjustable Heavy Duty DJ PA Stands	SS HD 1PK 4FT	Black(黑色)-	SS HD 1PK 4FT	I18bt8ckvpuq	sl25042923538843880	19161528133	Delivered	Stocking	Not replaced			No	2026-July-03 15:13			2026-July-15 00:59	2026-July-09 09:34	92346902673388000023556041	GWU2607044891939842	USD	15.42	0	0	1.85	13.57	0	0	1.08	1	FLORIDA	Milton				
Normal Order	GSU18C60U00106C		Delivered	direct	No	No	No	No	5 CORE Trípode ajustable para micrófono, de 31 a 76 pulgadas de altura, con brazo de micrófono giratorio 360 grados y soporte dual para micrófono - MS DBL	MS DBL	Black(黑色)-	MS DBL	I04n75bpgp4w	sl25042902214479763	19161500098	Delivered	Stocking	Not replaced			No	2026-July-03 15:10			2026-July-15 00:59	2026-July-08 05:39	GFUS01060136632769	GWU2607044859695106	USD	22.12	0	0	2.65	19.47	0	0	1.55	1	FLORIDA	Miramar				
Normal Order	GSU18C53U00112J		Delivered	direct	No	No	No	No	5 CORE 5Core Mic Stand 3 N 1 Desktop Microphone Stands W Phone Clip	MS RBS BOOM	Black(黑色)-	MS RBS BOOM	I74owmmphivi	sl25050331116681665	19161045133	Delivered	Stocking	Not replaced			No	2026-July-03 14:28			2026-July-15 00:59	2026-July-08 04:50	GFUS01060136573121	GWU2607044859630592	USD	11.56	0	0	0.92	10.64	0	0	0.81	1	FLORIDA	Plantation				
Normal Order	GSU18C35U000RF4		Delivered	direct	No	No	No	No	5 CORE 5Core Microphone Wireless Bluetooth Karaoke Mic With Speaker	WM SPK BLU	Blue(蓝色)-	WM SPK BLU	I08e9xp4wmek	se25050497677133391	19161000833	Delivered	Stocking	Not replaced			No	2026-July-03 14:24			2026-July-15 00:59	2026-July-08 12:35	92346902673388000023556010	GWU2607044891939844	USD	10.99	0	0	0.88	10.11	0	0	0.46	1	MISSOURI	Valley Park				
Normal Order	GSU18U10B00N812		Delivered	direct	No	No	No	No	5 CORE 5Core Microphone Wireless Bluetooth Karaoke Mic With Speaker	WM SPK BLU	Blue(蓝色)-	WM SPK BLU	I08e9xp4wmek	se25050497677133391	19156284178	Delivered	Stocking	Not replaced			No	2026-July-03 07:26			2026-July-15 00:59	2026-July-08 05:56	92346902673388000023556027	GWU2607044891938820	USD	10.99	0	0	0.88	10.11	0	0	0.77	1	INDIANA	Rome City				
Normal Order	GSU18U03S00NM59		Delivered	direct	No	No	No	No	5 Core Projector Stand Floor Adjustable 66" Universal Projectors Support For Home Office & Studio	PS RB 167 BLK		PS RB 167 BLK	I8mnuzgfrgrtvm	se260412074091717664878	19155487648	Delivered	Stocking	Not replaced			No	2026-July-03 05:18			2026-July-15 00:59	2026-July-08 08:54	92346902673388000023556034	GWU2607044892204035	USD	20.63	0	0	1.65	18.98	0	0	1.55	1	FLORIDA	Key West				
Normal Order	GSU18U49Y001NS7		Delivered	direct	No	No	No	No	5 Core Speaker Stand Pair Adjustable Heavy Duty DJ PA Stands	SS HD 1PK 4FT	Black(黑色)-	SS HD 1PK 4FT	I18bt8ckvpuq	sl25042923538843880	19154445893	Delivered	Stocking	Not replaced			No	2026-July-03 00:31			2026-July-15 00:59	2026-July-08 09:19	92346902673388000023556003	GWU2607044891938819	USD	15.42	0	0	1.85	13.57	0	0	1.23	1	ALABAMA	Grand Bay				
Normal Order	GSU18U49Y001NS7		Delivered	direct	No	No	No	No	5 Core Speaker Stand Pair Adjustable Heavy Duty DJ PA Stands	SS HD 1PK 4FT	Black(黑色)-	SS HD 1PK 4FT	I18bt8ckvpuq	sl25042923538843880	19154445898	Delivered	Stocking	Not replaced			No	2026-July-03 00:31			2026-July-15 00:59	2026-July-08 09:19	92346902673388000023556003	GWU2607044891938819	USD	15.42	0	0	1.85	13.57	0	0	1.24	1	ALABAMA	Grand Bay				
Normal Order	GSU18U33Q001APU		Delivered	direct	No	No	No	No	5 Core Megaphone 30W Bull Horn PA Speaker W 800Yard Range	6R	White(白色)-	6R	I18ea0hs9oqy	se25050433167929536	19151201273	Delivered	Stocking	Not replaced			No	2026-July-02 19:31			2026-July-15 00:59	2026-July-07 12:26	GFUS01059960671553	GWU2607034884731906	USD	15.19	0	0	1.22	13.97	0	0	1.06	1	FLORIDA	Doral				
Normal Order	GSU18U52400MN15		Delivered	direct	No	No	No	No	5 CORE 5Core Microphone Stand Floor Adjustable With Metal Boom Arm	TBMS 80 HD	Black(黑色)-	TBMS 80 HD	I08bt6mtyqww	sl25042963038891425	19150896508	Delivered	Stocking	Not replaced			No	2026-July-02 19:09			2026-July-15 00:59	2026-July-07 08:12	GFUS01059960598017	GWU2607034884666370	USD	26.99	0	0	3.24	23.75	0	0	1.62	1	PENNSYLVANIA	Harrisburg				
Normal Order	GSU18U11W00NCPR		Delivered	direct	No	No	No	No	5 CORE 5Core Microphone Wireless Bluetooth Karaoke Mic With Speaker	WM SPK PNK+BLU	PINK AND BLUE(粉色和蓝色)-	WM SPK PNK+BLU	I38e9y3aa803	se25050439269136358	19149539613	Delivered	Stocking	Not replaced			No	2026-July-02 17:17			2026-July-15 00:59	2026-July-06 09:35	GFUS01059960556866	GWU2607034884667393	USD	15.89	0	0	1.27	14.62	0	0	1.71	1	ILLINOIS	Cicero				
Normal Order	GSU18U11W00NUM0		Customer Refunded	direct	No	No	No	No	5 Core 8" Subwoofer 500W Car Audio 4Ohm Sub Woofer Speaker	WF 8"-890 1PC	Black(黑色)-	WF 8"-890 1PC	I18gptnyu904	sl25050798628200090	19149403298	Customer Refunded	Stocking	Not replaced			No	2026-July-02 17:05			2026-July-15 00:59	2026-July-07 05:53	GFUS01059960470656	GWU2607034884599810	USD	15.8	0	0	1.9	13.9	0	0	1.03	1	FLORIDA	Orlando				
Normal Order	GSU18U29W00NSMV		Delivered	direct	No	No	No	No	5 CORE Classic Retro Microphone Dynamic Metal Body Old Vintage Style Unidirectional Cardioid Mic W XLR Input Universal Stand Compatible - RTRO MIC COPPER	RTRO MIC RSE GLD	Rose Gold(玫瑰金)	RTRO MIC RSE GLD	I5molukcur0q2e	se260501025208507103222	19149101368	Delivered	Stocking	Not replaced			No	2026-July-02 16:38			2026-July-15 00:59	2026-July-06 15:15	GFUS01059960104193	GWU2607034884536322	USD	30.99	0	0	2.48	28.51	0	0	0	1	DELAWARE	Wilmington				
Normal Order	GSU18U20C00NHTM		Delivered	direct	No	No	No	No	5 Core Megaphone 30W Bull Horn PA Speaker W 800Yard Range	8R-USB WoB	White(白色)-	8R-USB WoB	I08ea9tp3kri	se25050440720216001	19148340393	Delivered	Stocking	Not replaced			No	2026-July-02 15:31			2026-July-15 00:59	2026-July-07 07:16	GFUS01059960025536	GWU2607034884467715	USD	16.14	0	0	1.29	14.85	0	0	1.21	1	FLORIDA	Brandon				
Normal Order	GSU18U12N00CE9E		Delivered	direct	No	No	No	No	5 Core Triple Guitar Stand Floor For Acoustic Electric Bass	GSH 3N1	Black(黑色)-	GSH 3N1	I084yvbchpl3	sl25042373727222652	19146225353	Delivered	Stocking	Not replaced			No	2026-July-02 12:19			2026-July-15 00:59	2026-July-08 11:46	GFUS01059959885121	GWU2607034884469761	USD	21.99	0	0	2.64	19.35	0	0	1.7	1	CALIFORNIA	Costa Mesa				
Normal Order	GSU18239900NH4A		Delivered	direct	No	No	No	No	5 CORE Soporte ajustable en altura para teclado con 5 núcleos, liberación rápida de un solo gatillo, portátil para DJ	KS 2X HAND	Black(黑色)-	KS 2X HAND	I63flzdqfwpn	se25092323829299955	19142322738	Delivered	Stocking	Not replaced			No	2026-July-02 05:41			2026-July-15 00:59	2026-July-07 07:14	GFUS01059784273218	GWU2607025065714690	USD	19.27	0	0	2.31	16.96	0	0	1.35	1	FLORIDA	Doral				
Normal Order	GSU182347002YAR		Delivered	direct	No	No	No	No	5 Core Projector Stand Floor Adjustable 66" Universal Projectors Support For Home Office & Studio	PS RB 167 BLK		PS RB 167 BLK	I8mnuzgfrgrtvm	se260412074091717664878	19141452408	Delivered	Stocking	Not replaced			No	2026-July-02 01:40			2026-July-15 00:59	2026-July-08 09:13	GFUS01059784151040	GWU2607025065321475	USD	20.63	0	0	1.65	18.98	0	0	1.63	1	CALIFORNIA	Keyes				
Normal Order	GSU18259Y00M1J8		Delivered	direct	No	No	No	No	5 Core Keyboard Stand X Shape Height Adjustable Foldable Portable Key Board DJ Controller Stands	KS 1X WH	White(白色)-	KS 1X WH	I7mmwetc0v1hv5	sh260319030327701597765	19141026308	Delivered	Stocking	Not replaced			No	2026-July-02 00:24			2026-July-14 00:59	2026-July-08 13:35	GFUS01059784028352	GWU2607025065124864	USD	17.84	0	0	2.14	15.7	0	0	1.74	1	CALIFORNIA	San Ramon				
Normal Order	GSU18203X00MY2M		Delivered	direct	No	No	No	No	5 Core Projector Stand Floor Adjustable 53" Universal Projectors Support For Home Office & Studio	PS RB 135 WH		PS RB 135 WH	I7mnuz9bs5k24l	se260412073747112379630	19140746943	Delivered	Stocking	Not replaced			No	2026-July-01 23:46			2026-July-14 00:59	2026-July-07 09:13	92346902673388000023556522	GWU2607044912517122	USD	20.4	0	0	1.63	18.77	0	0	1.53	1	FLORIDA	Jacksonville				
Normal Order	GSU18203X00MY2M		Delivered	direct	No	No	No	No	5 Core Keyboard Stand Adjustable Key Board Pianos Stands	KS 1X RED	Red(红色)-	KS 1X RED	I3c11s7aqdsr	sq25093099797732929	19140746948	Delivered	Stocking	Not replaced			No	2026-July-01 23:46			2026-July-14 00:59	2026-July-07 09:13	92346902673388000023556485	GWU2607044910028800	USD	17.84	0	0	2.14	15.7	0	0	1.34	1	FLORIDA	Jacksonville				
Normal Order	GSU18203X00MY2M		Delivered	direct	No	No	No	No	5 Core Projector Stand Floor Adjustable 53" Universal Projectors Support For Home Office & Studio	PS RB 135 WH		PS RB 135 WH	I7mnuz9bs5k24l	se260412073747112379630	19140746953	Delivered	Stocking	Not replaced			No	2026-July-01 23:46			2026-July-14 00:59	2026-July-07 09:13	92346902673388000023556522	GWU2607044912517122	USD	20.4	0	0	1.63	18.77	0	0	1.53	1	FLORIDA	Jacksonville				
